iter	Passed	Remaining
417	2472	3441
418	2488	3450
419	2489	3437
420	2493	3429
421	2494	3417
422	2496	3405
423	2498	3393
424	2499	3382
425	2507	3378
426	2514	3373
427	2537	3391
428	2540	3380
429	2541	3368
430	2542	3356
431	2545	3347
432	2550	3339
433	2552	3329
434	2555	3318
435	2557	3308
436	2563	3302
437	2569	3297
438	2572	3287
439	2574	3277
440	2579	3269
441	2593	3274
442	2599	3268
443	2600	3256
444	2603	3246
445	2625	3260
446	2634	3259
447	2639	3251
448	2641	3241
449	2643	3231
450	2645	3220
451	2646	3208
452	2650	3200
453	2664	3205
454	2669	3198
455	2673	3189
456	2675	3179
457	2679	3171
458	2691	3172
459	2729	3204
460	2735	3198
461	2743	3194
462	2745	3184
463	2746	3172
464	2748	3162
465	2761	3164
466	2764	3154
467	2779	3159
468	2790	3159
469	2794	3150
470	2796	3141
471	2799	3131
472	2807	3128
473	2816	3125
474	2817	3113
475	2818	3102
476	2820	3092
477	2823	3083
478	2826	3074
479	2827	3063
480	2829	3052
481	2831	3043
482	2832	3032
483	2833	3020
484	2834	3009
485	2835	2998
486	2836	2988
487	2837	2977
488	2838	2965
489	2839	2954
490	2839	2943
491	2840	2932
492	2841	2922
493	2842	2911
494	2843	2900
495	2843	2889
496	2844	2878
497	2845	2868
498	2846	2857
499	2846	2846
500	2847	2836
501	2848	2826
502	2849	2815
503	2850	2805
504	2851	2794
505	2852	2784
506	2853	2774
507	2854	2764
508	2855	2754
509	2857	2745
510	2858	2735
511	2873	2738
512	2874	2729
513	2875	2719
514	2894	2725
515	2907	2727
516	2910	2719
517	2911	2709
518	2913	2700
519	2914	2690
520	2916	2681
521	2917	2671
522	2919	2662
523	2933	2665
524	2937	2657
525	2939	2648
526	2951	2649
527	2953	2639
528	2954	2630
529	2968	2632
530	2976	2628
531	2980	2621
532	2981	2611
533	2982	2602
534	2982	2592
535	2983	2582
536	3003	2589
537	3005	2580
538	3036	2597
539	3039	2588
540	3040	2579
541	3043	2571
542	3051	2567
543	3080	2582
544	3082	2573
545	3084	2564
546	3086	2556
547	3088	2547
548	3096	2543
549	3103	2539
550	3112	2536
551	3129	2540
552	3131	2531
553	3154	2539
554	3156	2530
555	3157	2521
556	3159	2512
557	3160	2503
558	3170	2501
559	3175	2494
560	3185	2492
561	3186	2483
562	3187	2474
563	3188	2465
564	3191	2457
565	3193	2448
566	3194	2439
567	3196	2430
568	3197	2422
569	3198	2413
570	3200	2404
571	3208	2401
572	3224	2402
573	3225	2393
574	3226	2384
575	3230	2377
576	3231	2369
577	3232	2360
578	3235	2352
579	3236	2343
580	3237	2334
581	3238	2326
582	3240	2317
583	3242	2310
584	3244	2301
585	3246	2293
586	3248	2285
587	3255	2281
588	3257	2272
589	3265	2269
590	3266	2260
591	3273	2255
592	3274	2247
593	3275	2238
594	3277	2230
595	3290	2230
596	3291	2221
597	3292	2213
598	3300	2209
599	3301	2200
600	3302	2192
601	3303	2183
602	3303	2175
603	3304	2166
604	3305	2158
605	3306	2149
606	3307	2141
607	3309	2133
608	3310	2125
609	3311	2117
610	3312	2109
611	3313	2100
612	3314	2092
613	3315	2084
614	3316	2076
615	3317	2068
616	3318	2060
617	3319	2051
618	3320	2043
619	3321	2035
620	3322	2027
621	3323	2019
622	3323	2011
623	3324	2003
624	3325	1995
625	3326	1987
626	3327	1979
627	3328	1971
628	3328	1963
629	3329	1955
630	3330	1947
631	3331	1939
632	3332	1931
633	3333	1924
634	3333	1916
635	3334	1908
636	3335	1900
637	3336	1892
638	3336	1885
639	3337	1877
640	3349	1875
641	3360	1873
642	3361	1866
643	3362	1858
644	3363	1851
645	3364	1843
646	3365	1836
647	3366	1828
648	3366	1820
649	3367	1813
650	3368	1805
651	3381	1804
652	3383	1797
653	3384	1790
654	3385	1783
655	3392	1779
656	3394	1771
657	3396	1765
658	3403	1761
659	3405	1754
660	3407	1747
661	3409	1740
662	3419	1738
663	3421	1731
664	3430	1728
665	3432	1721
666	3434	1714
667	3443	1711
668	3449	1706
669	3454	1701
670	3456	1694
671	3460	1689
672	3468	1685
673	3474	1680
674	3489	1679
675	3501	1678
676	3502	1671
677	3505	1664
678	3514	1661
679	3525	1659
680	3526	1652
681	3528	1645
682	3530	1638
683	3542	1636
684	3544	1629
685	3555	1627
686	3557	1620
687	3560	1614
688	3566	1609
689	3574	1605
690	3584	1602
691	3586	1596
692	3588	1589
693	3601	1587
694	3603	1581
695	3607	1575
696	3609	1569
697	3612	1563
698	3619	1558
699	3626	1554
700	3637	1551
701	3640	1545
702	3642	1538
703	3643	1532
704	3654	1529
705	3660	1524
706	3661	1517
707	3663	1510
708	3667	1505
709	3668	1498
710	3669	1491
711	3678	1487
712	3681	1482
713	3696	1480
714	3704	1476
715	3720	1475
716	3725	1470
717	3745	1470
718	3761	1469
719	3764	1464
720	3785	1464
721	3792	1460
722	3805	1458
723	3817	1455
724	3850	1460
725	3856	1455
726	3857	1448
727	3902	1458
728	3906	1452
729	3921	1450
730	3923	1443
731	3927	1437
732	3934	1433
733	3941	1428
734	3943	1421
735	3952	1417
736	3957	1412
737	3965	1407
738	3974	1403
739	3975	1396
740	3982	1391
741	3989	1387
742	3990	1380
743	3992	1373
744	3995	1367
745	4003	1362
746	4012	1359
747	4021	1355
748	4053	1358
749	4056	1352
750	4072	1350
751	4074	1343
752	4078	1337
753	4080	1331
754	4084	1325
755	4086	1318
756	4102	1317
757	4105	1310
758	4107	1304
759	4110	1297
760	4125	1295
761	4127	1289
762	4129	1282
763	4131	1276
764	4134	1270
765	4136	1263
766	4147	1260
767	4158	1256
768	4163	1250
769	4165	1244
770	4167	1237
771	4169	1231
772	4182	1228
773	4204	1227
774	4210	1222
775	4241	1224
776	4243	1217
777	4247	1212
778	4263	1209
779	4287	1209
780	4302	1206
781	4304	1199
782	4305	1193
783	4307	1186
784	4308	1180
785	4310	1173
786	4314	1167
787	4321	1162
788	4330	1158
789	4331	1151
790	4331	1144
791	4332	1137
792	4348	1135
793	4351	1129
794	4354	1122
795	4356	1116
796	4360	1110
797	4363	1104
798	4368	1098
799	4370	1092
800	4372	1086
801	4378	1080
802	4384	1075
803	4386	1069
804	4393	1064
805	4394	1057
806	4396	1051
807	4398	1045
808	4399	1038
809	4432	1039
810	4435	1033
811	4439	1027
812	4444	1022
813	4446	1016
814	4453	1010
815	4457	1005
816	4460	999
817	4487	998
818	4495	993
819	4498	987
820	4504	982
821	4516	977
822	4517	971
823	4519	965
824	4533	961
825	4535	955
826	4537	949
827	4544	944
828	4546	937
829	4549	931
830	4551	925
831	4554	919
832	4555	913
833	4558	907
834	4578	904
835	4585	899
836	4586	893
837	4588	887
838	4590	880
839	4592	874
840	4593	868
841	4595	862
842	4597	856
843	4599	850
844	4601	844
845	4603	838
846	4653	840
847	4656	834
848	4659	828
849	4662	822
850	4672	818
851	4675	812
852	4677	806
853	4679	799
854	4681	793
855	4689	788
856	4696	783
857	4698	777
858	4700	771
859	4733	770
860	4736	764
861	4739	758
862	4742	752
863	4743	746
864	4745	740
865	4750	735
866	4779	733
867	4786	727
868	4790	722
869	4808	718
870	4812	712
871	4830	709
872	4834	703
873	4874	702
874	4889	698
875	4892	692
876	4895	686
877	4897	680
878	4899	674
879	4901	668
880	4906	662
881	4913	657
882	4955	656
883	4957	650
884	4959	644
885	4962	638
886	4964	632
887	4966	626
888	4968	620
889	4969	614
890	4972	608
891	4977	602
892	4982	597
893	4985	591
894	4987	585
895	5016	582
896	5018	576
897	5020	570
898	5022	564
899	5024	558
900	5028	552
901	5031	546
902	5034	540
903	5036	534
904	5038	528
905	5040	522
906	5041	516
907	5085	515
908	5087	509
909	5088	503
910	5089	497
911	5101	492
912	5106	486
913	5109	480
914	5111	474
915	5168	473
916	5186	469
917	5192	463
918	5195	457
919	5197	451
920	5199	445
921	5202	440
922	5204	434
923	5206	428
924	5208	422
925	5210	416
926	5250	413
927	5253	407
928	5256	401
929	5258	395
930	5273	390
931	5275	384
932	5281	379
933	5286	373
934	5289	367
935	5291	361
936	5293	355
937	5294	349
938	5295	344
939	5297	338
940	5332	334
941	5335	328
942	5338	322
943	5344	317
944	5349	311
945	5351	305
946	5354	299
947	5363	294
948	5366	288
949	5367	282
950	5393	277
951	5395	272
952	5396	266
953	5428	261
954	5430	255
955	5433	250
956	5441	244
957	5448	238
958	5450	233
959	5478	228
960	5480	222
961	5483	216
962	5485	210
963	5488	204
964	5490	199
965	5492	193
966	5494	187
967	5496	181
968	5509	176
969	5522	170
970	5528	165
971	5532	159
972	5549	154
973	5551	148
974	5553	142
975	5570	136
976	5573	131
977	5575	125
978	5577	119
979	5579	113
980	5581	108
981	5583	102
982	5585	96
983	5587	90
984	5589	85
985	5595	79
986	5601	73
987	5609	68
988	5611	62
989	5613	56
990	5618	51
991	5647	45
992	5655	39
993	5673	34
994	5679	28
995	5688	22
996	5718	17
997	5724	11
998	5730	5
999	5733	0
